DEBUG:root:start insert company for 'AAPL'
DEBUG:root:insert value for 'AAPL' in '2017-12-28'
DEBUG:root:insert value for 'AAPL' in '2017-12-27'
DEBUG:root:insert value for 'AAPL' in '2017-12-26'
DEBUG:root:insert value for 'AAPL' in '2017-12-22'
DEBUG:root:insert value for 'AAPL' in '2017-12-21'
DEBUG:root:insert value for 'AAPL' in '2017-12-20'
DEBUG:root:insert value for 'AAPL' in '2017-12-19'
DEBUG:root:insert value for 'AAPL' in '2017-12-18'
DEBUG:root:insert value for 'AAPL' in '2017-12-15'
DEBUG:root:insert value for 'AAPL' in '2017-12-14'
DEBUG:root:insert value for 'AAPL' in '2017-12-13'
DEBUG:root:insert value for 'AAPL' in '2017-12-12'
DEBUG:root:insert value for 'AAPL' in '2017-12-11'
DEBUG:root:insert value for 'AAPL' in '2017-12-08'
DEBUG:root:insert value for 'AAPL' in '2017-12-07'
DEBUG:root:insert value for 'AAPL' in '2017-12-06'
DEBUG:root:insert value for 'AAPL' in '2017-12-05'
DEBUG:root:insert value for 'AAPL' in '2017-12-04'
DEBUG:root:insert value for 'AAPL' in '2017-12-01'
DEBUG:root:insert value for 'AAPL' in '2017-11-30'
DEBUG:root:insert value for 'AAPL' in '2017-11-29'
DEBUG:root:insert value for 'AAPL' in '2017-11-28'
DEBUG:root:insert value for 'AAPL' in '2017-11-27'
DEBUG:root:insert value for 'AAPL' in '2017-11-24'
DEBUG:root:insert value for 'AAPL' in '2017-11-22'
DEBUG:root:insert value for 'AAPL' in '2017-11-21'
DEBUG:root:insert value for 'AAPL' in '2017-11-20'
DEBUG:root:insert value for 'AAPL' in '2017-11-17'
DEBUG:root:insert value for 'AAPL' in '2017-11-16'
DEBUG:root:insert value for 'AAPL' in '2017-11-15'
DEBUG:root:insert value for 'AAPL' in '2017-11-14'
DEBUG:root:insert value for 'AAPL' in '2017-11-13'
DEBUG:root:insert value for 'AAPL' in '2017-11-10'
DEBUG:root:insert value for 'AAPL' in '2017-11-09'
DEBUG:root:insert value for 'AAPL' in '2017-11-08'
DEBUG:root:insert value for 'AAPL' in '2017-11-07'
DEBUG:root:insert value for 'AAPL' in '2017-11-06'
DEBUG:root:insert value for 'AAPL' in '2017-11-03'
DEBUG:root:insert value for 'AAPL' in '2017-11-02'
DEBUG:root:insert value for 'AAPL' in '2017-11-01'
DEBUG:root:insert value for 'AAPL' in '2017-10-31'
DEBUG:root:insert value for 'AAPL' in '2017-10-30'
DEBUG:root:insert value for 'AAPL' in '2017-10-27'
DEBUG:root:insert value for 'AAPL' in '2017-10-26'
DEBUG:root:insert value for 'AAPL' in '2017-10-25'
DEBUG:root:insert value for 'AAPL' in '2017-10-24'
DEBUG:root:insert value for 'AAPL' in '2017-10-23'
DEBUG:root:insert value for 'AAPL' in '2017-10-20'
DEBUG:root:insert value for 'AAPL' in '2017-10-19'
DEBUG:root:insert value for 'AAPL' in '2017-10-18'
DEBUG:root:insert value for 'AAPL' in '2017-10-17'
DEBUG:root:insert value for 'AAPL' in '2017-10-16'
DEBUG:root:insert value for 'AAPL' in '2017-10-13'
DEBUG:root:insert value for 'AAPL' in '2017-10-12'
DEBUG:root:insert value for 'AAPL' in '2017-10-11'
DEBUG:root:insert value for 'AAPL' in '2017-10-10'
DEBUG:root:insert value for 'AAPL' in '2017-10-09'
DEBUG:root:insert value for 'AAPL' in '2017-10-06'
DEBUG:root:insert value for 'AAPL' in '2017-10-05'
DEBUG:root:insert value for 'AAPL' in '2017-10-04'
DEBUG:root:insert value for 'AAPL' in '2017-10-03'
DEBUG:root:insert value for 'AAPL' in '2017-10-02'
DEBUG:root:insert value for 'AAPL' in '2017-09-29'
DEBUG:root:insert value for 'AAPL' in '2017-09-28'
DEBUG:root:insert value for 'AAPL' in '2017-09-27'
DEBUG:root:insert value for 'AAPL' in '2017-09-26'
DEBUG:root:insert value for 'AAPL' in '2017-09-25'
DEBUG:root:insert value for 'AAPL' in '2017-09-22'
DEBUG:root:insert value for 'AAPL' in '2017-09-21'
DEBUG:root:insert value for 'AAPL' in '2017-09-20'
DEBUG:root:insert value for 'AAPL' in '2017-09-19'
DEBUG:root:insert value for 'AAPL' in '2017-09-18'
DEBUG:root:insert value for 'AAPL' in '2017-09-15'
DEBUG:root:insert value for 'AAPL' in '2017-09-14'
DEBUG:root:insert value for 'AAPL' in '2017-09-13'
